URL;Image;Retailer;Brand;Product Name;Caliber;Price
/p/geco/9-mm-luger-hexagon-sx-8-0g-124grs/182071?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p182071_ha_v1.jpg;Frankonia;Geco;9 mm Luger Hexagon SX 8,0g/124grs.;9mm Luger;23,99
/p/sellier-bellot/38-spec-teilmantel-10-24g-158grs/64192?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p64192_ha.jpg;Frankonia;Sellier & Bellot;.38 Spec. Teilmantel 10,24g/158grs.;.38 Special;23,99
/p/topshot-competition/45-acp-vollmantel-14-9g-230grs/171543?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p171543_ha_v1.jpg;Frankonia;TOPSHOT Competition;.45 ACP Vollmantel 14,9g/230grs.;.45 ACP;26,00
/p/sellier-bellot/357-mag-vollmantel-10-24g-158grs/64194?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p64194_ha.jpg;Frankonia;Sellier & Bellot;.357 Mag. Vollmantel 10,24g/158grs.;.357 Magnum;25,99
/p/sellier-bellot/9-mm-luger-vollmantel-7-45g-115grs/65185?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p65185_ha.jpg;Frankonia;Sellier & Bellot;9 mm Luger Vollmantel 7,45g/115grs.;9mm Luger;17,30
/p/sellier-bellot/9-mm-luger-hohlspitz-nontox-7-5g-115grs/122756?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p122756_ha.jpg;Frankonia;Sellier & Bellot;9 mm Luger Hohlspitz NonTox 7,5g/115grs.;9mm Luger;29,99
/p/geco/357-magnum-hohlspitz-10-2g-158grs/167228?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p167228_ha_v1.jpg;Frankonia;Geco;.357 Magnum Hohlspitz 10,2g/158grs.;.357 Magnum;28,99
/p/magtech/9-mm-luger-vollmantel-subsonic-9-52g-147grs/144805?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144805_ha_v1.jpg;Frankonia;Magtech;9 mm Luger Vollmantel Subsonic 9,52g/147grs.;9mm Luger;20,99
/p/geco/9-mm-luger-vollmantel-sx-8-0g-124grs/130932?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p130932_ha_v1.jpg;Frankonia;Geco;9 mm Luger Vollmantel SX 8,0g/124grs.;9mm Luger;22,99
/p/magtech/9-mm-luger-steel-vollmantel-8-0g-124grs/2017704?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p2017703_ha.jpg;Frankonia;Magtech;9 mm Luger Steel Vollmantel 8,0g/124grs.;9mm Luger;15,80
/p/geco/9-mm-luger-vollmantel-8-0g-124grs/124951?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p124951_ha_v1.jpg;Frankonia;Geco;9 mm Luger Vollmantel 8,0g/124grs.;9mm Luger;17,80
/p/sellier-bellot/38-spec-wadcutter-9-6g-148grs/64190?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p64190_ha.jpg;Frankonia;Sellier & Bellot;.38 Spec. Wadcutter 9,6g/148grs.;.38 Special;24,99
/p/magtech/9-mm-luger-jhp-7-45g-115grs/144802?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144802_ha_v1.jpg;Frankonia;Magtech;9 mm Luger JHP 7,45g/115grs.;9mm Luger;20,50
/p/geco/9-mm-luger-hohlspitz-7-5g-115grs/167234?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p167234_ha_v1.jpg;Frankonia;Geco;9 mm Luger Hohlspitz 7,5g/115grs.;9mm Luger;21,70
/p/winchester/9-mm-luger-vollmantel-8-0g-124grs/2013029?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p2013029_ha_v1.jpg;Frankonia;Winchester;9 mm Luger Vollmantel 8,0g/124grs.;9mm Luger;17,99
/p/magtech/357-magnum-sjsp-10-24g-158grs/144864?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144864_ha_v1.jpg;Frankonia;Magtech;.357 Magnum SJSP 10,24g/158grs.;.357 Magnum;27,99
/p/magtech/9-mm-luger-jsp-flat-6-15g-95grs/144803?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144803_ha_v1.jpg;Frankonia;Magtech;9 mm Luger JSP-Flat 6,15g/95grs.;9mm Luger;20,99
/p/magtech/45-acp-vollmantel-swc-14-9g-230grs/144816?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144816_ha_v1.jpg;Frankonia;Magtech;.45 ACP Vollmantel SWC 14,9g/230grs.;.45 ACP;27,50
/p/magtech/38-special-lrn-10-24g-158grs/144837?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144837_ha_v1.jpg;Frankonia;Magtech;.38 Special LRN 10,24g/158grs.;.38 Special;20,99
/p/magtech/45-acp-jhp-bonded-14-9g-230grs/193435?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p193435_ha.jpg;Frankonia;Magtech;.45 ACP JHP Bonded 14,9g/230grs.;.45 ACP;37,99
/p/magtech/9-mm-luger-jhp-9-5g-147grs/144807?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144807_ha_v1.jpg;Frankonia;Magtech;9 mm Luger JHP 9,5g/147grs.;9mm Luger;21,99
/p/magtech/9-mm-luger-jhp-bonded-9-5g-147grs/193433?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p193433_ha.jpg;Frankonia;Magtech;9 mm Luger JHP Bonded 9,5g/147grs.;9mm Luger;28,99
/p/magtech/38-special-lwc-9-59g-148grs/144838?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144838_ha.jpg;Frankonia;Magtech;.38 Special LWC 9,59g/148grs.;.38 Special;22,60
/p/geco/38-special-hohlspitz-10-2g-158grs/166656?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p166656_ha_v1.jpg;Frankonia;Geco;.38 Special Hohlspitz 10,2g/158grs.;.38 Special;27,99
/p/magtech/357-magnum-teilmantel-hp-10-2g-158grs/144861?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144861_ha_v1.jpg;Frankonia;Magtech;.357 Magnum Teilmantel HP 10,2g/158grs.;.357 Magnum;30,99
